DBN,school NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
01M292,HENRY STREET school FOR INTERNATIONAL STUDIES,29,355,404,363
01M448,university NEIGHBORHOOD HIGH school,91,383,423,366
01M450,EAST SIDE COMMUNITY school,70,377,402,370
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359
01M509,MARTA VALLE HIGH school,44,390,433,384
01M515,LOWER EAST SIDE PREPARATORY HIGH school,112,332,557,316
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH school",159,522,574,525
01M650,CASCADES HIGH school,18,417,418,411
01M696,BARD HIGH school EARLY COLLEGE,130,624,604,628
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY school,16,395,400,387
02M288,FOOD AND FINANCE HIGH school,62,409,393,392
02M294,ESSEX STREET ACADEMY,53,394,384,378
02M296,HIGH school OF HOSPITALITY MANAGEMENT,58,374,375,362
02M298,PACE HIGH school,85,423,438,432
02M300,"URBAN ASSEMBLY school OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
02M303,"FACING history school, THE",76,353,358,340
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
02M313,"JAMES BALDWIN school, THE: A school FOR EXPEDITIONARY LEARNING",69,408,390,390
02M316,"URBAN ASSEMBLY school OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
02M374,GRAMERCY ARTS HIGH school,60,391,391,394
02M376,NYC Ischool,92,473,483,479
02M394,EMMA LAZARUS HIGH school,79,319,512,357
02M400,HIGH school FOR ENVIRONMENTAL STUDIES,263,465,493,461
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
02M408,PROFESSIONAL PERFORMING ARTS HIGH school,94,509,490,523
02M411,BARUCH COLLEGE CAMPUS HIGH school,104,496,563,518
02M412,N.Y.C. LAB school FOR COLLABORATIVE STUDIES,114,537,590,550
02M413,school OF THE FUTURE HIGH school,66,517,533,515
02M414,N.Y.C. MUSEUM school,103,468,492,459
02M416,ELEANOR ROOSEVELT HIGH school,127,572,594,592
02M418,MILLENNIUM HIGH school,144,528,553,533
02M419,LANDMARK HIGH school,62,390,399,381
02M420,HIGH school FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH school,84,416,426,391
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
02M449,VANGUARD HIGH school,72,395,416,388
02M459,MANHATTAN INTERNATIONAL HIGH school,49,376,460,391
02M460,WASHINGTON IRVING HIGH school,151,373,387,360
02M475,STUYVESANT HIGH school,832,679,735,682
02M489,HIGH school OF ECONOMICS AND FINANCE,167,443,489,442
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351
02M519,TALENT UNLIMITED HIGH school,81,469,472,475
02M520,MURRY BERGTRAUM HIGH school FOR BUSINESS CAREERS,264,407,440,393
02M529,JACQUELINE KENNEDY ONASSIS HIGH school,131,414,425,400
02M531,REPERTORY COMPANY HIGH school FOR THEATRE ARTS,42,429,404,420
02M542,MANHATTAN BRIDGES HIGH school,66,336,378,344
02M543,NEW DESIGN HIGH school,73,391,395,382
02M544,INDEPENDENCE HIGH school,14,389,371,335
02M545,HIGH school FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
02M550,LIBERTY HIGH school ACADEMY FOR NEWCOMERS,26,368,436,352
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR school,77,405,423,384
02M560,HIGH school M560 s CITY AS school,56,498,440,477
02M565,URBAN ACADEMY LABORATORY HIGH school,30,527,508,512
02M570,SATELLITE ACADEMY HIGH school,33,350,337,345
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH school,121,345,517,343
02M580,RICHARD R. GREEN HIGH school OF TEACHING,84,408,384,403
02M586,HARVEY MILK HIGH school,9,458,416,429
02M600,THE HIGH school OF FASHION INDUSTRIES,335,423,423,411
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH school,83,399,418,390
02M620,NORMAN THOMAS HIGH school,154,370,379,359
02M625,HIGH school OF GRAPHIC COMMUNICATION ARTS,191,395,382,376
02M630,ART AND DESIGN HIGH school,270,444,441,430
02M655,LIFE SCIENCES SECONDARY school,61,409,424,403
03M283,MANHATTAN THEATRE LAB HIGH school,27,406,379,408
03M299,"HIGH school FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
03M307,"URBAN ASSEMBLY school FOR MEDIA STUDIES, THE",41,384,390,370
03M470,LOUIS D. BRANDEIS HIGH school,131,370,390,358
03M479,BEACON HIGH school,261,577,575,592
03M485,FIORELLO H. LAGUARDIA HIGH school OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
03M492,"HIGH school FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
03M494,HIGH school OF ARTS AND TECHNOLOGY,75,433,433,411
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH school,35,401,369,351
03M541,MANHATTAN / HUNTER SCIENCE HIGH school,111,473,506,467
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY school,43,356,379,361
04M409,COALITION school FOR SOCIAL CHANGE,48,354,357,373
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
04M495,PARK EAST HIGH school,51,373,379,376
04M555,CENTRAL PARK EAST HIGH school,73,405,421,395
04M610,YOUNG WOMEN'S LEADERSHIP school,70,432,446,448
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH school,48,369,369,357
04M680,"HERITAGE school, THE",31,358,351,345
05M285,HARLEM RENAISSANCE HIGH school,29,357,318,333
05M304,MOTT HALL HIGH school,54,413,399,398
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD school,33,354,366,342
05M369,URBAN ASSEMBLY school FOR THE PERFORMING ARTS,56,360,353,364
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385
05M499,FREDERICK DOUGLASS ACADEMY,214,458,474,442
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
05M685,BREAD & ROSES INTEGRATED ARTS HIGH school,61,369,361,355
05M692,"HIGH school FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING school,70,380,395,399
06M457,GEORGE WASHINGTON YABC,7,394,357,346
06M462,HIGH school FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378
06M463,HIGH school FOR MEDIA AND COMMUNICATIONS,63,369,380,349
06M467,HIGH school FOR LAW AND PUBLIC SERVICE,94,363,378,361
06M468,HIGH school FOR HEALTH CAREERS AND SCIENCES,24,400,422,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH school,228,430,456,423
06M552,GREGORIO LUPERON HIGH school FOR SCIENCE AND MATHEMATICS,56,339,349,326
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD school,65,364,378,348
07X321,CROTONA ACADEMY HIGH school,9,379,364,382
07X334,INTERNATIONAL COMMUNITY HIGH school,34,310,324,311
07X427,COMMUNITY school FOR SOCIAL JUSTICE,43,361,359,357
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH school,63,351,375,371
07X495,university HEIGHTS SECONDARY school,79,403,394,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391
07X527,BRONX LEADERSHIP ACADEMY II HIGH school,62,362,378,363
07X547,NEW EXPLORERS HIGH school,28,367,356,361
07X548,URBAN ASSEMBLY school FOR CAREERS IN SPORTS,44,387,411,383
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH school,76,394,400,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH school,47,398,416,370
07X670,HEALTH OPPORTUNITIES HIGH school,114,363,368,364
